V (V)	I (A)
-1.100000E+0	-6.024445E-6
-1.050000E+0	-5.720266E-6
-1.000000E+0	-5.409221E-6
-9.500000E-1	-5.104832E-6
-9.000000E-1	-4.801244E-6
-8.500000E-1	-4.499330E-6
-8.000000E-1	-4.207433E-6
-7.500000E-1	-3.914050E-6
-7.000000E-1	-3.628860E-6
-6.500000E-1	-3.345972E-6
-6.000000E-1	-3.063243E-6
-5.500000E-1	-2.786694E-6
-5.000000E-1	-2.515992E-6
-4.500000E-1	-2.249318E-6
-4.000000E-1	-1.984005E-6
-3.500000E-1	-1.724991E-6
-3.000000E-1	-1.470391E-6
-2.500000E-1	-1.219342E-6
-2.000000E-1	-9.719247E-7
-1.500000E-1	-7.271595E-7
-1.000000E-1	-4.865663E-7
-5.000000E-2	-2.457957E-7
0.000000E+0	3.754775E-10
5.000000E-2	2.591222E-7
1.000000E-1	5.416904E-7
1.500000E-1	8.619118E-7
2.000000E-1	1.230262E-6
2.500000E-1	1.657070E-6
3.000000E-1	2.144397E-6
3.500000E-1	2.696218E-6
4.000000E-1	3.318753E-6
4.500000E-1	4.067159E-6
5.000000E-1	5.170252E-6
5.500000E-1	7.602749E-6
6.000000E-1	1.441220E-5
6.500000E-1	3.041833E-5
7.000000E-1	5.804477E-5
7.500000E-1	9.615548E-5
8.000000E-1	1.426145E-4
8.500000E-1	1.965614E-4
9.000000E-1	2.580257E-4
9.500000E-1	3.307025E-4
1.000000E+0	4.223747E-4
1.050000E+0	5.330998E-4
1.100000E+0	6.679682E-4
